Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
flex-fit-mini-ottoman-black,FLEX FIT | MINI OTTOMAN BLACK,Flexfit Mini Ottoman Cap,FLEX FIT,Uncategorized,ACCESSORIES,"clothes, egnition-sample-data, flex-fit, men",true,Size,s,,Color,black,,,,,FF-01-s-black,0.0,shopify,5,deny,manual,29.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_27_image1.jpg?v=1787745233,1,FLEX FIT | MINI OTTOMAN BLACK,false,,,,kg,,,active
flex-fit-mini-ottoman-black,,,,,,,,,m,,,black,,,,,FF-01-m-black,0.0,shopify,5,deny,manual,29.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_27_image2.jpg?v=1787745232,2,FLEX FIT | MINI OTTOMAN BLACK,,,,,kg,,,
flex-fit-mini-ottoman-black,,,,,,,,,l,,,black,,,,,FF-01-l-black,0.0,shopify,5,deny,manual,29.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_27_image3.jpg?v=1787745232,3,FLEX FIT | MINI OTTOMAN BLACK,,,,,kg,,,
flex-fit-mini-ottoman-black,,,,,,,,,xl,,,black,,,,,FF-01-xl-black,0.0,shopify,5,deny,manual,29.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_27_image4.jpg?v=1787745232,4,FLEX FIT | MINI OTTOMAN BLACK,,,,,kg,,,
herschel-iona,HERSCHEL | IONA,"Featuring a cinch closure concealed by a slender top flap, the Iona backpack unites everyday practicality with clean design.",HERSCHEL,Uncategorized,ACCESSORIES,"backpack, clothes, egnition-sample-data, herschel",true,Size,OS,,Color,black,,,,,H-01-OS-black,0.0,shopify,20,deny,manual,119.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_26_image1.jpg?v=1787745226,1,HERSCHEL | IONA,false,,,,kg,,,active
herschel-iona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_26_image2.jpg?v=1787745226,2,HERSCHEL | IONA,,,,,,,,
herschel-iona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_26_image3.jpg?v=1787745227,3,HERSCHEL | IONA,,,,,,,,
herschel-iona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_26_image4.jpg?v=1787745226,4,HERSCHEL | IONA,,,,,,,,
vans-apparel-and-accessories-classic-super-no-show-socks-3-pack-white,VANS APPAREL AND ACCESSORIES | CLASSIC SUPER NO SHOW SOCKS 3 PACK WHITE,The classic super no show socks are for all your low top shoes like Classic Slip-Ons. These socks are designed to stay hidden under your shoes for an athletic look with either jeans or shorts. Thin walled breathable cotton/nylon blend.,VANS,Uncategorized,ACCESSORIES,"clothes, egnition-sample-data, unisex, vans",true,Size,9.5-13,,Color,white,,,,,VN-10-9.5-13-white,0.0,shopify,21,deny,manual,19.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_25_image1.jpg?v=1787745221,1,VANS APPAREL AND ACCESSORIES | CLASSIC SUPER NO SHOW SOCKS 3 PACK WHITE,false,,,,kg,,,active
vans-apparel-and-accessories-classic-super-no-show-socks-3-pack-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_25_image2.jpg?v=1787745221,2,VANS APPAREL AND ACCESSORIES | CLASSIC SUPER NO SHOW SOCKS 3 PACK WHITE,,,,,,,,
adidas-kids-stan-smith,ADIDAS | KID'S STAN SMITH,"The Stan Smith owned the tennis court in the '70s. Today it runs the streets with the same clean, classic style. These kids' shoes preserve the iconic look of the original, made in leather with punched 3-Stripes, heel and tongue logos and lightweight step-in cushioning.",ADIDAS,Uncategorized,SHOES,"adidas, clothes, egnition-sample-data, kid",true,Size,1,,Color,white,,,,,AD-02-1-white,0.0,shopify,30,deny,manual,90.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_24_image1.jpg?v=1787745215,1,ADIDAS | KID'S STAN SMITH,false,,,,kg,,,active
adidas-kids-stan-smith,,,,,,,,,2,,,white,,,,,AD-02-2-white,0.0,shopify,30,deny,manual,90.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_24_image2.jpg?v=1787745215,2,ADIDAS | KID'S STAN SMITH,,,,,kg,,,
adidas-kids-stan-smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_24_image3.jpg?v=1787745215,3,ADIDAS | KID'S STAN SMITH,,,,,,,,
adidas-kids-stan-smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_24_image4.jpg?v=1787745215,4,ADIDAS | KID'S STAN SMITH,,,,,,,,
adidas-kids-stan-smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_24_image5.jpg?v=1787745215,5,ADIDAS | KID'S STAN SMITH,,,,,,,,
nike-toddler-roshe-one,NIKE | TODDLER ROSHE ONE,"The Nike Roshe One Infant Shoe offers breathable comfort and soft yet durable cushioning with a mesh upper and Phylon midsole that doubles as an outsole. The shoe is intended to be versatile, worn with or without socks, dressed up or down, for walking or just taking it easy.",NIKE,Uncategorized,SHOES,"clothes, egnition-sample-data, kid, nike",true,Size,4,,Color,black,,,,,NK-02-4-black,0.0,shopify,20,deny,manual,70.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_23_image1.jpg?v=1787745209,1,NIKE | TODDLER ROSHE ONE,false,,,,kg,,,active
nike-toddler-roshe-one,,,,,,,,,7,,,black,,,,,NK-02-7-black,0.0,shopify,20,deny,manual,70.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_23_image2.jpg?v=1787745209,2,NIKE | TODDLER ROSHE ONE,,,,,kg,,,
nike-toddler-roshe-one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_23_image3.jpg?v=1787745209,3,NIKE | TODDLER ROSHE ONE,,,,,,,,
nike-toddler-roshe-one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_23_image4.jpg?v=1787745209,4,NIKE | TODDLER ROSHE ONE,,,,,,,,
nike-toddler-roshe-one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_23_image5.jpg?v=1787745209,5,NIKE | TODDLER ROSHE ONE,,,,,,,,
converse-toddler-chuck-taylor-all-star-axel-mid,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID,"The Converse Chuck Taylor All Star Axel recasts the iconic original in a refreshed silhouette for a premium look and feel. A no-tie design lets kids slip them on and go, while a rubber outsole delivers reliable traction from the classroom to the playground.",CONVERSE,Uncategorized,SHOES,"clothes, converse, egnition-sample-data, kid",true,Size,5,,Color,black,,,,,C-03-5-black,0.0,shopify,36,deny,manual,70.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_22_image1.jpg?v=1787745204,1,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID,false,,,,kg,,,active
converse-toddler-chuck-taylor-all-star-axel-mid,,,,,,,,,6,,,black,,,,,C-03-6-black,0.0,shopify,36,deny,manual,70.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_22_image2.jpg?v=1787745203,2,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID,,,,,kg,,,
converse-toddler-chuck-taylor-all-star-axel-mid,,,,,,,,,7,,,black,,,,,C-03-7-black,0.0,shopify,36,deny,manual,70.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_22_image3.jpg?v=1787745203,3,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID,,,,,kg,,,
converse-toddler-chuck-taylor-all-star-axel-mid,,,,,,,,,8,,,black,,,,,C-03-8-black,0.0,shopify,36,deny,manual,70.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_22_image4.jpg?v=1787745203,4,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID,,,,,kg,,,
converse-toddler-chuck-taylor-all-star-axel-mid,,,,,,,,,9,,,black,,,,,C-03-9-black,0.0,shopify,36,deny,manual,70.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_22_image5.jpg?v=1787745203,5,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID,,,,,kg,,,
converse-chuck-taylor-all-star-ii-hi,CONVERSE | CHUCK TAYLOR ALL STAR II HI,"Introducing the Converse Chuck Taylor All Star II Hi sneaker. Retaining the revolutionary silhouette we all rely on, but now made ever better. New features include Lunarlon sockliner adds cushioning and arch support. Micro-suede lining, premium textured shield canvas construction and a padded, non-slip tongue deliver superior comfort and durability. Moulded eyelets add a premium touch. The embossed, screen-printed license plate and embroidered, star-centered ankle patch add striking depth and dimension to recognizable, classic details.",CONVERSE,Uncategorized,SHOES,"clothes, converse, egnition-sample-data, men, summer",true,Size,4,,Color,black,,,,,C-02-4-black,0.0,shopify,52,deny,manual,140.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_21_image1.jpg?v=1787745197,1,CONVERSE | CHUCK TAYLOR ALL STAR II HI,false,,,,kg,,,active
converse-chuck-taylor-all-star-ii-hi,,,,,,,,,5,,,black,,,,,C-02-5-black,0.0,shopify,52,deny,manual,140.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_21_image2.jpg?v=1787745197,2,CONVERSE | CHUCK TAYLOR ALL STAR II HI,,,,,kg,,,
converse-chuck-taylor-all-star-ii-hi,,,,,,,,,6,,,black,,,,,C-02-6-black,0.0,shopify,52,deny,manual,140.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_21_image3.jpg?v=1787745197,3,CONVERSE | CHUCK TAYLOR ALL STAR II HI,,,,,kg,,,
converse-chuck-taylor-all-star-ii-hi,,,,,,,,,7,,,black,,,,,C-02-7-black,0.0,shopify,52,deny,manual,140.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_21_image4.jpg?v=1787745197,4,CONVERSE | CHUCK TAYLOR ALL STAR II HI,,,,,kg,,,
converse-chuck-taylor-all-star-ii-hi,,,,,,,,,9,,,black,,,,,C-02-9-black,0.0,shopify,52,deny,manual,140.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_21_image5.jpg?v=1787745196,5,CONVERSE | CHUCK TAYLOR ALL STAR II HI,,,,,kg,,,
converse-chuck-taylor-all-star-ii-hi,,,,,,,,,11,,,black,,,,,C-02-11-black,0.0,shopify,52,deny,manual,140.00,,true,true,,,,,,,,,,,,,kg,,,
converse-chuck-taylor-all-star-ii-hi,,,,,,,,,13,,,black,,,,,C-02-13-black,0.0,shopify,52,deny,manual,140.00,,true,true,,,,,,,,,,,,,kg,,,
converse-chuck-taylor-all-star-lo,CONVERSE | CHUCK TAYLOR ALL STAR LO,"The Converse Chuck Taylor All Star II Lo sneaker. Retaining the revolutionary silhouette we all rely on, but now made even better. New features include Lunarlon sockliner, adding cushioning and arch support. Micro-suede lining, premium canvas construction and a padded, non-slip tongue deliver superior comfort and durability. Moulded eyelets add a premium touch. The embossed, screen-printed license plate and embroidered, star-centered ankle patch add striking depth and dimension to recognizable, classic details.",CONVERSE,Uncategorized,SHOES,"clothes, converse, egnition-sample-data, men, summer",true,Size,3,,Color,white,,,,,C-01-3-white,0.0,shopify,25,deny,manual,100.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_20_image1.jpg?v=1787745189,1,CONVERSE | CHUCK TAYLOR ALL STAR LO,false,,,,kg,,,active
converse-chuck-taylor-all-star-lo,,,,,,,,,4,,,white,,,,,C-01-4-white,0.0,shopify,25,deny,manual,100.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_20_image2.jpg?v=1787745189,2,CONVERSE | CHUCK TAYLOR ALL STAR LO,,,,,kg,,,
converse-chuck-taylor-all-star-lo,,,,,,,,,5,,,white,,,,,C-01-5-white,0.0,shopify,25,deny,manual,100.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_20_image3.jpg?v=1787745189,3,CONVERSE | CHUCK TAYLOR ALL STAR LO,,,,,kg,,,
converse-chuck-taylor-all-star-lo,,,,,,,,,6,,,white,,,,,C-01-6-white,0.0,shopify,25,deny,manual,100.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_20_image4.jpg?v=1787745189,4,CONVERSE | CHUCK TAYLOR ALL STAR LO,,,,,kg,,,
converse-chuck-taylor-all-star-lo,,,,,,,,,7,,,white,,,,,C-01-7-white,0.0,shopify,25,deny,manual,100.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_20_image5.jpg?v=1787745189,5,CONVERSE | CHUCK TAYLOR ALL STAR LO,,,,,kg,,,
converse-chuck-taylor-all-star-lo,,,,,,,,,8,,,white,,,,,C-01-8-white,0.0,shopify,25,deny,manual,100.00,,true,true,,,,,,,,,,,,,kg,,,
converse-chuck-taylor-all-star-lo,,,,,,,,,9,,,white,,,,,C-01-9-white,0.0,shopify,25,deny,manual,100.00,,true,true,,,,,,,,,,,,,kg,,,
converse-chuck-taylor-all-star-lo,,,,,,,,,10,,,white,,,,,C-01-10-white,0.0,shopify,25,deny,manual,100.00,,true,true,,,,,,,,,,,,,kg,,,
converse-chuck-taylor-all-star-lo,,,,,,,,,11,,,white,,,,,C-01-11-white,0.0,shopify,25,deny,manual,100.00,,true,true,,,,,,,,,,,,,kg,,,
converse-chuck-taylor-all-star-lo,,,,,,,,,12,,,white,,,,,C-01-12-white,0.0,shopify,25,deny,manual,100.00,,true,true,,,,,,,,,,,,,kg,,,
converse-chuck-taylor-all-star-lo,,,,,,,,,13,,,white,,,,,C-01-13-white,0.0,shopify,25,deny,manual,100.00,,true,true,,,,,,,,,,,,,kg,,,
dr-martens-1460z-dmc-8-eye-boot-cherry-smooth,DR MARTENS | 1460Z DMC 8-EYE BOOT | CHERRY SMOOTH,"Make a statement with these iconic Dr Marten boots. This classic style has stood the test of time thanks to the combination of reinvented styling and the rugged yet urban look. Crafted with high-quality, durable leathers, the 1460OZ DMC 8-Eye Boot Cherry Smooth is made to last and will only get better with time. This lace-up boot features the iconic Dr Martens air-cushioned sole offering good abrasion and slip resistance, and is made with Goodyear welt - the sole and upper are heat-sealed and sewn together.",DR MARTENS,Uncategorized,SHOES,"autumn, clothes, drmartens, egnition-sample-data, spring, women",true,Size,3,,Color,red,,,,,DM-03-3-red,0.0,shopify,21,deny,manual,249.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_19_image1.jpg?v=1787745182,1,DR MARTENS | 1460Z DMC 8-EYE BOOT | CHERRY SMOOTH,false,,,,kg,,,active
dr-martens-1460z-dmc-8-eye-boot-cherry-smooth,,,,,,,,,4,,,red,,,,,DM-03-4-red,0.0,shopify,21,deny,manual,249.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_19_image2.jpg?v=1787745181,2,DR MARTENS | 1460Z DMC 8-EYE BOOT | CHERRY SMOOTH,,,,,kg,,,
dr-martens-1460z-dmc-8-eye-boot-cherry-smooth,,,,,,,,,5,,,red,,,,,DM-03-5-red,0.0,shopify,21,deny,manual,249.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_19_image3.jpg?v=1787745181,3,DR MARTENS | 1460Z DMC 8-EYE BOOT | CHERRY SMOOTH,,,,,kg,,,
dr-martens-1460z-dmc-8-eye-boot-cherry-smooth,,,,,,,,,6,,,red,,,,,DM-03-6-red,0.0,shopify,21,deny,manual,249.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_19_image4.jpg?v=1787745182,4,DR MARTENS | 1460Z DMC 8-EYE BOOT | CHERRY SMOOTH,,,,,kg,,,
dr-martens-1460z-dmc-8-eye-boot-cherry-smooth,,,,,,,,,7,,,red,,,,,DM-03-7-red,0.0,shopify,21,deny,manual,249.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_19_image5.jpg?v=1787745181,5,DR MARTENS | 1460Z DMC 8-EYE BOOT | CHERRY SMOOTH,,,,,kg,,,
dr-martens-1460z-dmc-8-eye-boot-cherry-smooth,,,,,,,,,8,,,red,,,,,DM-03-8-red,0.0,shopify,21,deny,manual,249.00,,true,true,,,,,,,,,,,,,kg,,,
dr-martens-1460z-dmc-8-eye-boot-cherry-smooth,,,,,,,,,10,,,red,,,,,DM-03-10-red,0.0,shopify,21,deny,manual,249.00,,true,true,,,,,,,,,,,,,kg,,,
dr-martens-1460z-dmc-8-eye-boot-cherry-smooth,,,,,,,,,11,,,red,,,,,DM-03-11-red,0.0,shopify,21,deny,manual,249.00,,true,true,,,,,,,,,,,,,kg,,,
dr-martens-1460z-dmc-8-eye-boot-cherry-smooth,,,,,,,,,12,,,red,,,,,DM-03-12-red,0.0,shopify,21,deny,manual,249.00,,true,true,,,,,,,,,,,,,kg,,,
dr-martens-1460z-dmc-8-eye-boot-cherry-smooth,,,,,,,,,13,,,red,,,,,DM-03-13-red,0.0,shopify,21,deny,manual,249.00,,true,true,,,,,,,,,,,,,kg,,,
dr-martens-1460z-dmc-8-eye-boot-cherry-smooth,,,,,,,,,15,,,red,,,,,DM-03-15-red,0.0,shopify,21,deny,manual,249.00,,true,true,,,,,,,,,,,,,kg,,,
dr-martens-cavendish-3-eye-shoe-black,DR MARTENS | CAVENDISH 3-EYE SHOE BLACK,"Make a statement with the Dr Marten's Cavendish 3-Eye shoe. Stamped with Docs trademade look, this lace-up shoe is crafted with high-quality, durable smooth leather, and has been made to last. This unique shoe features an air-cushioned sole offering good abrasion and slip resistance, and is made with Goodyear welt - the sole and upper are heat-sealed and sewn together.",DR MARTENS,Uncategorized,SHOES,"autumn, clothes, drmartens, egnition-sample-data, women",true,Size,4,,Color,black,,,,,DM-02-4-black,0.0,shopify,30,deny,manual,229.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_18_image1.jpg?v=1787745175,1,DR MARTENS | CAVENDISH 3-EYE SHOE BLACK,false,,,,kg,,,active
dr-martens-cavendish-3-eye-shoe-black,,,,,,,,,5,,,black,,,,,DM-02-5-black,0.0,shopify,30,deny,manual,229.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_18_image2.jpg?v=1787745175,2,DR MARTENS | CAVENDISH 3-EYE SHOE BLACK,,,,,kg,,,
dr-martens-cavendish-3-eye-shoe-black,,,,,,,,,6,,,black,,,,,DM-02-6-black,0.0,shopify,30,deny,manual,229.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_18_image3.jpg?v=1787745175,3,DR MARTENS | CAVENDISH 3-EYE SHOE BLACK,,,,,kg,,,
dr-martens-cavendish-3-eye-shoe-black,,,,,,,,,7,,,black,,,,,DM-02-7-black,0.0,shopify,30,deny,manual,229.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_18_image4.jpg?v=1787745175,4,DR MARTENS | CAVENDISH 3-EYE SHOE BLACK,,,,,kg,,,
dr-martens-cavendish-3-eye-shoe-black,,,,,,,,,8,,,black,,,,,DM-02-8-black,0.0,shopify,30,deny,manual,229.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_18_image5.jpg?v=1787745175,5,DR MARTENS | CAVENDISH 3-EYE SHOE BLACK,,,,,kg,,,
dr-martens-cavendish-3-eye-shoe-black,,,,,,,,,9,,,black,,,,,DM-02-9-black,0.0,shopify,30,deny,manual,229.00,,true,true,,,,,,,,,,,,,kg,,,
dr-martens-1461-dmc-3-eye-shoe-black-smooth,DR MARTENS | 1461 DMC 3-EYE SHOE | BLACK SMOOTH,"Make a statement with the iconic Dr Marten's 1461Z DMC 3-Eye shoe. Stamped with Docs trademade look, this lace-up shoe is crafted with high-quality, durable smooth leather, and has been made to last. This unique shoe features an air-cushioned sole offering good abrasion and slip resistance, and is made with Goodyear welt - the sole and upper are heat-sealed and sewn together.",DR MARTENS,Uncategorized,SHOES,"autumn, clothes, drmartens, egnition-sample-data, spring, women",true,Size,5,,Color,black,,,,,DM-01-5-black,0.0,shopify,40,deny,manual,229.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_17_image1.jpg?v=1787745168,1,DR MARTENS | 1461 DMC 3-EYE SHOE | BLACK SMOOTH,false,,,,kg,,,active
dr-martens-1461-dmc-3-eye-shoe-black-smooth,,,,,,,,,6,,,black,,,,,DM-01-6-black,0.0,shopify,40,deny,manual,229.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_17_image3.jpg?v=1787745168,2,DR MARTENS | 1461 DMC 3-EYE SHOE | BLACK SMOOTH,,,,,kg,,,
dr-martens-1461-dmc-3-eye-shoe-black-smooth,,,,,,,,,7,,,black,,,,,DM-01-7-black,0.0,shopify,40,deny,manual,229.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_17_image4.jpg?v=1787745168,3,DR MARTENS | 1461 DMC 3-EYE SHOE | BLACK SMOOTH,,,,,kg,,,
dr-martens-1461-dmc-3-eye-shoe-black-smooth,,,,,,,,,8,,,black,,,,,DM-01-8-black,0.0,shopify,40,deny,manual,229.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_17_image5.jpg?v=1787745168,4,DR MARTENS | 1461 DMC 3-EYE SHOE | BLACK SMOOTH,,,,,kg,,,
dr-martens-1461-dmc-3-eye-shoe-black-smooth,,,,,,,,,9,,,black,,,,,DM-01-9-black,0.0,shopify,40,deny,manual,229.00,,true,true,,,,,,,,,,,,,kg,,,
dr-martens-1461-dmc-3-eye-shoe-black-smooth,,,,,,,,,10,,,black,,,,,DM-01-10-black,0.0,shopify,40,deny,manual,229.00,,true,true,,,,,,,,,,,,,kg,,,
